,Unnamed: 0,Word,Word Frequency,Rpt,Letter Freq,Scores,Unnamed: 6,Unnamed: 7
320,320,block,-0.89,0,741.8759274108,10.28654821,,
321,321,bloke,0.29,0,1916.6625049572,26.04933702,,
322,322,blond,-0.71,0,1667.804515524,11.3663656,,
323,323,blood,-0.73,1,2191.300500276,15.43219739,,
324,324,bloom,-0.45,1,1759.4854016922,20.14584037,,
325,325,blots,-0.4,0,3605.9339089962,14.09247964,,
326,326,blown,-0.54,0,828.9969503634001,15.33560326,,
327,327,blows,-0.62,0,965.7731071638001,13.84882548,,
328,328,blues,-0.72,0,3772.4284074312,9.166467036,,
329,329,bluff,-0.32,1,241.8155229384,25.55082847,,
330,330,blunt,-0.66,0,1914.9779223288,11.80138043,,
331,331,blurb,0.01,1,1154.4201377136,27.94785451,,
332,332,blush,-0.67,0,1191.4792627032,12.68385238,,
333,333,board,-0.69,0,3555.178241076001,9.781726302,,
334,334,boast,-0.54,0,4910.331223343701,11.09782968,,
335,335,boats,-0.64,0,4910.331223343701,9.597829678,,
336,336,bobby,-0.37,2,344.8099747728,29.31521398,,
337,337,bob's,-0.39,1,223.25659263,24.60362556,,
338,338,bodes,-0.05,0,3333.046365198,19.55839781,,
339,339,bogey,0.58,0,1682.269058448,30.69703849,,
340,340,bogus,-0.11,0,1002.174038028,21.4274822,,
341,341,boils,-0.5,0,3314.487586716,12.8235381,,
342,342,bolts,-0.65,0,3605.9339089962,10.34247964,,
343,343,bombs,-0.68,1,609.4904978799002,18.77730677,,
344,344,bonds,-0.75,0,1552.506132618,10.92491019,,
345,345,boner,-0.23,0,6546.661108633801,14.84192325,,
346,346,bones,-0.71,0,4872.1295397159,8.571426899,,
347,347,bongo,-0.35,1,1390.441716153,22.16277819,,
348,348,bonny,0.38,1,1442.3811928848,33.034466,,
349,349,bonus,-0.48,0,1844.7425811108,14.58775275,,
350,350,booby,0.4,1,926.5881215088003,34.22782326,,
351,351,books,-0.71,1,1091.8993007286,17.25926713,,
352,352,boors,0.12,1,4667.569538279401,26.15010262,,
353,353,boost,-0.64,1,3785.6508723063,15.35663245,,
354,354,booth,-0.59,1,2203.3926493389,17.5189083,,
355,355,boots,-0.76,1,3785.6508723063,13.55663245,,
356,356,booty,-0.22,1,2406.0786200496,22.85359643,,
357,357,booze,-0.34,1,386.9591317515001,24.5966996,,
358,358,borax,0.21,0,334.6050109248001,28.05822642,,
359,359,bored,-0.71,0,4478.601160836,8.822630446,,
360,360,borer,-0.25,1,10248.0932445012,17.97666489,,
361,361,bores,-0.32,0,7626.794329776601,12.98043433,,
362,362,boric,0.14,0,2957.175483948,22.72771283,,
363,363,borne,0.37,0,6546.661108633801,23.84192325,,
364,364,boron,0.66,1,4006.532056174201,34.69588806,,
365,365,bosom,0.12,1,1637.8489510929,28.85677843,,
366,366,bossy,-0.33,1,1957.6020043152,21.70007005,,
367,367,botch,0.16,0,1393.5699298269,24.80800253,,
368,368,bough,0.09,0,583.3033692840002,25.40091114,,
369,369,bound,-0.53,0,1083.268527768,14.97500536,,
370,370,bouts,0.01,0,2342.1178444284,21.37008224,,
371,371,bowed,-0.23,0,972.8580927780001,19.68478949,,
372,372,bowel,-0.3,0,1779.7580403174,17.36980298,,
373,373,bower,0.58,0,2226.128224062601,30.04406375,,
374,374,bowie,-0.08,0,1659.581452386,20.82740688,,
375,375,bowls,-0.4,0,965.7731071638001,17.14882548,,
376,376,boxed,-0.67,0,184.209816384,15.64188215,,
